Segment_number,Average Degree (Global),Global Efficiency,Average Shortest Path Length,Clustering Coefficient,Modularity
1,9.68421052631579,0.7810457516339873,3.3625730994152048,0.7340606761659393,0.0844854630692223
2,1.5789473684210529,0.6818181818181818,15.690058479532164,0.2280701754385964,0.6044849373563852
3,1.4736842105263157,0.65,15.953216374269006,0.2280701754385964,0.4956876915772883
4,1.7894736842105263,0.6990740740740742,15.374269005847951,0.2894736842105263,0.4959205246283067
5,2.1052631578947367,0.5684920634920637,13.216374269005849,0.2894736842105263,0.5293320235917409
6,3.473684210526316,0.5783882783882788,10.251461988304094,0.3711779448621554,0.1955051651368258
7,1.5789473684210529,0.5680555555555556,14.339181286549708,0.187719298245614,0.4234442109472749
8,2.1052631578947367,0.4391071428571427,7.812865497076023,0.1894736842105263,0.4933472700485024
9,1.263157894736842,1.0,17.736842105263158,0.2631578947368421,0.287205343263866
10,1.894736842105263,0.5906060606060609,13.608187134502923,0.1385964912280701,0.4510990130950191
11,1.7894736842105263,0.5836601307189545,14.029239766081872,0.1526315789473684,0.5139096593398809
12,1.5789473684210529,0.6490196078431374,15.64327485380117,0.1929824561403508,0.5409324905219371
13,8.631578947368421,0.7618872549019613,5.228070175438597,0.678141741299636,0.0618656302862135
14,2.0,0.8958333333333334,16.502923976608187,0.4701754385964912,0.5449883481143726
15,6.631578947368421,0.9701492537313432,11.970760233918128,0.6047846889952154,0.0263205110336034
16,1.894736842105263,0.4390702947845804,9.24561403508772,0.131578947368421,0.4726317838454817
17,1.368421052631579,0.408145095645096,12.023391812865498,0.0789473684210526,0.4826220942242573
18,1.368421052631579,0.6259803921568627,15.637426900584796,0.1228070175438596,0.560269704787713
19,1.7894736842105263,0.6675000000000002,15.0,0.1666666666666666,0.4285698368280625
Average,2.842105263157895,0.6609385511337166,12.769775315481686,0.2904205059329713,0.4048748264050502
